,city,Area,education,remote,experience,fulltime,label,Target,labelTree
227,3,3,1,2,1,1,5,3,6
228,2,3,2,2,2,2,3,5,4
229,2,2,2,2,2,2,3,3,4
230,2,3,2,2,2,2,3,5,4
231,2,2,1,2,1,1,5,3,6
232,3,1,1,2,1,1,5,5,6
233,2,2,1,2,1,1,5,5,6
234,1,3,2,1,2,1,1,1,2
235,3,3,1,2,1,1,5,5,6
236,2,2,2,2,2,2,3,2,4
237,2,3,2,2,2,2,3,4,4
238,2,2,1,2,1,1,5,5,6
239,3,3,1,2,1,1,5,3,6
240,3,3,1,2,1,1,5,5,6
241,2,2,1,2,1,1,5,4,6
242,2,3,2,2,2,2,3,5,4
243,2,2,2,2,2,2,3,3,4
244,3,1,1,2,1,1,5,3,6
245,1,3,2,1,2,1,1,2,2
246,3,3,1,2,1,1,5,5,6
247,2,2,1,2,1,1,5,4,6
248,2,2,2,2,2,2,3,2,4
249,2,2,2,2,2,2,3,3,4
250,2,2,2,2,2,2,3,3,4
251,2,3,2,2,2,2,3,5,4
252,2,3,2,2,2,2,3,3,4
253,3,3,1,2,1,1,5,3,6
254,3,1,1,2,1,1,5,4,6
255,3,3,1,2,1,1,5,5,6
256,3,1,1,2,1,1,5,3,6
257,3,3,1,2,1,1,5,3,6
258,3,3,1,2,1,1,5,2,6
259,2,2,1,2,1,1,5,5,6
260,1,1,2,2,2,1,2,2,3
261,3,1,1,2,1,1,5,5,6
262,2,2,2,2,2,2,3,3,4
263,1,3,2,1,2,1,1,2,2
264,3,3,1,2,1,1,5,4,6
265,2,2,1,2,1,1,5,5,6
266,3,3,1,2,1,1,5,5,6
267,3,1,1,2,1,1,5,4,6
268,3,3,1,2,1,1,5,1,6
269,3,1,1,2,1,1,5,5,6
270,1,3,2,1,2,1,1,1,2
271,2,2,2,2,2,2,3,3,4
272,2,2,1,2,1,1,5,5,6
273,2,3,2,2,2,2,3,2,4
274,3,3,1,2,1,1,5,3,6
275,3,1,1,2,1,1,5,5,6
276,3,3,1,2,1,1,5,5,6
277,2,2,2,2,2,2,3,3,4
278,2,2,2,2,2,2,3,2,4
279,2,2,1,2,1,1,5,3,6
280,3,3,1,2,1,1,5,3,6
281,2,2,1,2,1,1,5,4,6
282,3,1,1,1,1,2,2,2,3
283,3,3,1,2,1,1,5,5,6
284,1,1,2,2,2,1,2,1,3
285,2,3,2,2,2,2,3,3,4
286,3,1,1,2,1,1,5,2,6
287,3,1,1,2,1,1,5,2,6
288,2,2,2,2,2,2,3,3,4
289,1,3,2,1,2,1,1,1,2
290,3,3,1,2,1,1,5,3,6
291,3,3,1,2,1,1,5,5,6
292,3,1,1,1,1,2,2,2,3
293,2,3,2,2,2,2,3,2,4
294,1,3,2,1,2,1,1,1,2
295,1,3,2,1,2,1,1,2,2
296,2,2,2,2,2,2,3,5,4
297,2,2,1,2,1,1,5,4,6
298,3,3,1,2,1,1,5,2,6
299,1,3,2,1,2,1,1,1,2
300,3,3,1,2,1,1,5,2,6
301,2,3,2,2,2,2,3,3,4
302,3,3,1,2,1,1,5,5,6
303,3,3,1,2,1,1,5,5,6
304,2,3,2,2,2,2,3,2,4
305,1,2,2,2,2,1,2,2,3
306,3,1,1,2,1,1,5,5,6
307,3,3,1,2,1,1,5,3,6
308,3,3,1,2,1,1,5,5,6
309,2,2,2,2,2,2,3,2,4
310,1,3,2,1,2,1,1,1,2
311,2,2,2,2,2,2,3,3,4
312,2,2,2,2,2,2,3,2,4
313,2,2,2,2,2,2,3,2,4
314,3,1,1,2,1,1,5,5,6
315,2,2,2,2,2,2,3,2,4
316,2,2,1,2,1,1,5,4,6
317,2,3,2,2,2,2,3,5,4
318,2,3,2,2,2,2,3,2,4
319,3,1,1,2,1,1,5,2,6
320,2,2,2,2,2,2,3,5,4
321,2,2,2,2,2,2,3,3,4
322,3,1,1,1,1,2,2,2,3
323,2,2,2,2,2,2,3,3,4
324,2,2,2,2,2,2,3,5,4
325,2,2,1,2,1,1,5,3,6
326,1,3,2,1,2,1,1,2,2
327,2,2,2,2,2,2,3,3,4
328,3,3,1,2,1,1,5,3,6
329,2,2,1,2,1,1,5,4,6
